case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
DrivAer,65334765.0,4899382.0,Face-Based,CPU,NeoN,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4843898.0,Face-Based,CPU,NeoN,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4502883.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4571665.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4926154.0,Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4412360.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4076684.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3558814.0,Cell-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5914761.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7248330.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6902657.0,Global Face-Based,CPU,JuNe,8.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1747444.0,Cell-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1579012.0,Cell-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1796550.0,Cell-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2843571.0,Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3721832.0,Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3796321.0,Face-Based,CPU,NeoN,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3892396.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4056124.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3884724.0,Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3799847.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3755441.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3871247.0,Cell-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6624508.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,7002913.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6591044.0,Global Face-Based,CPU,JuNe,16.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1054067.0,Cell-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,972687.0,Cell-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,998865.0,Cell-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1938503.0,Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1668432.0,Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1937269.0,Face-Based,CPU,NeoN,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3285933.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3135404.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3099885.0,Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3759000.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2989444.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2998107.0,Cell-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5753004.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5220167.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,6099792.0,Global Face-Based,CPU,JuNe,32.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,909797.0,Cell-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,903395.0,Cell-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,894020.0,Cell-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1307032.0,Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1322091.0,Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1279625.0,Face-Based,CPU,NeoN,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3770892.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2839974.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2842588.0,Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3530730.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,3323748.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2952849.0,Cell-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,5075101.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4632575.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,4408879.0,Global Face-Based,CPU,JuNe,64.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,954860.0,Cell-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,754324.0,Cell-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,777043.0,Cell-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1005509.0,Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1243828.0,Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1340743.0,Face-Based,CPU,NeoN,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,2434126.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
DrivAer,65334765.0,1930519.0,Face-Based,CPU,JuNe,128.0,gpu-nvidia-h100,460041233.0
