case,cells,time_us,strategy,executor,julia_or_neon,threads,node
LDC_N50,125000.0,936.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N50,125000.0,942.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N60,216000.0,6765.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N60,216000.0,6762.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N60,216000.0,6703.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N60,216000.0,2253.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,2069.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,2004.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1636.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1228.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1221.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1405.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1202.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N60,216000.0,1181.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N70,343000.0,10056.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N70,343000.0,9991.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N70,343000.0,9985.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N70,343000.0,2484.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,2357.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,2306.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1641.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1537.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1539.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1570.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1506.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N70,343000.0,1483.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N80,512000.0,14587.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N80,512000.0,14437.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N80,512000.0,14406.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N80,512000.0,2957.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,2862.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,2827.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,2194.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,1930.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,1937.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,1957.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,1894.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N80,512000.0,1905.0,Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
,,,,,,,
,,,,,,,
,,,,,,,
LDC_N90,729000.0,24162.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N90,729000.0,24121.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N90,729000.0,24144.0,Global Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100
LDC_N90,729000.0,3409.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,3292.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,3283.0,Cell-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,2574.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
LDC_N90,729000.0,2467.0,Global Face-Based,GPU,NeoN + Julia,1.0,gpu-nvidia-h100
