time_ms,case_short,case_long,threads,algorithm,incl_gc,metric,language
5268,LDC-M,Lid-Driven Cavity M,1,C++ BatchedFaceBasedAssembly,true,mean,cpp
518,Wind,WindsorBody,1,C++ CellBasedAssembly,false,median,cpp
4639,Wind,WindsorBody,1,C++ FaceBasedAssembly,false,median,cpp
4634,Wind,WindsorBody,1,C++ BatchedFaceBasedAssembly,false,median,cpp
518,Wind,WindsorBody,1,C++ CellBasedAssembly,true,median,cpp
4639,Wind,WindsorBody,1,C++ FaceBasedAssembly,true,median,cpp
4634,Wind,WindsorBody,1,C++ BatchedFaceBasedAssembly,true,median,cpp
518,Wind,WindsorBody,1,C++ CellBasedAssembly,false,mean,cpp
4639,Wind,WindsorBody,1,C++ FaceBasedAssembly,false,mean,cpp
4634,Wind,WindsorBody,1,C++ BatchedFaceBasedAssembly,false,mean,cpp
518,Wind,WindsorBody,1,C++ CellBasedAssembly,true,mean,cpp
4639,Wind,WindsorBody,1,C++ FaceBasedAssembly,true,mean,cpp
4634,Wind,WindsorBody,1,C++ BatchedFaceBasedAssembly,true,mean,cpp
