case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz
LDC_N40,64000.0,885.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,882.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1008.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,941.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,935.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,628.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,518.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,514.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1093.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1056.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N40,64000.0,1030.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,166.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,113.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,102.0,Fused Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,437.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,418.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,411.0,Cell-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,516.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,429.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,416.0,Face-Based,GPU,NeoN,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,460.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,277.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,270.0,Face-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,595.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,554.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
LDC_N20,8000.0,547.0,Cell-Based,GPU,JuNe,1.0,gpu-nvidia-h100,
