,strategy,language,time_s,nprocs,time_mean_ms,case_long,serial_time,speedup,efficiency,procticks,log_speedup,logthp1,avg_time,ms_normed,strategy_display
26,faceBased,IcoFoam,0.237407,4,240.6854,Lid-Driven Cavity 200,866.5396,3.600299810457967,0.9000749526144918,2.0,1.84811705018023,2.0,240.6854,3.0085674999999997e-05,Face-Based(IcoFoam)
27,faceBased,IcoFoam,0.245507,4,240.6854,Lid-Driven Cavity 200,866.5396,3.600299810457967,0.9000749526144918,2.0,1.84811705018023,2.0,240.6854,3.0085674999999997e-05,Face-Based(IcoFoam)
28,faceBased,IcoFoam,0.237571,4,240.6854,Lid-Driven Cavity 200,866.5396,3.600299810457967,0.9000749526144918,2.0,1.84811705018023,2.0,240.6854,3.0085674999999997e-05,Face-Based(IcoFoam)
29,faceBased,IcoFoam,0.24189,4,240.6854,Lid-Driven Cavity 200,866.5396,3.600299810457967,0.9000749526144918,2.0,1.84811705018023,2.0,240.6854,3.0085674999999997e-05,Face-Based(IcoFoam)
30,faceBased,IcoFoam,0.212005,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
31,faceBased,IcoFoam,0.169529,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
32,faceBased,IcoFoam,0.173587,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
33,faceBased,IcoFoam,0.171714,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
34,faceBased,IcoFoam,0.171963,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
35,faceBased,IcoFoam,0.171971,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
36,faceBased,IcoFoam,0.170272,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
37,faceBased,IcoFoam,0.17011,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
38,faceBased,IcoFoam,0.170308,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
39,faceBased,IcoFoam,0.171427,6,175.2886,Lid-Driven Cavity 200,866.5396,4.9435023156098,0.8239170526016334,2.5,2.3055335080192036,2.5,175.2886,2.1911075e-05,Face-Based(IcoFoam)
40,faceBased,IcoFoam,0.181328,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
41,faceBased,IcoFoam,0.152859,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
42,faceBased,IcoFoam,0.154384,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
43,faceBased,IcoFoam,0.153107,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
44,faceBased,IcoFoam,0.152247,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
45,faceBased,IcoFoam,0.151699,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
46,faceBased,IcoFoam,0.150155,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
47,faceBased,IcoFoam,0.154563,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
48,faceBased,IcoFoam,0.151146,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
49,faceBased,IcoFoam,0.152701,8,155.4189,Lid-Driven Cavity 200,866.5396,5.575509799644702,0.6969387249555877,3.0,2.4791037246371554,3.0,155.4189,1.94273625e-05,Face-Based(IcoFoam)
