time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads
17.97866154480287,17.976934,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,2
16.297909022801303,16.285925,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,cpu,true,true,2
17.510716360139863,17.503375,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,cpu,true,true,2
44.30981474336283,44.10016,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,cpu,true,true,2
45.12771295495495,45.144442,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,cpu,true,true,2
45.760365809090914,45.8151515,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,2
44.109335333333334,44.032878,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,cpu,true,true,2
45.85885026363636,45.908149,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,2
45.145995081081075,45.080624,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,cpu,true,true,2
38.732720407692305,38.6896395,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,cpu,true,true,2
8.173171465686275,8.1640515,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,cpu,true,true,4
8.190157710310967,8.177635,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,cpu,true,true,4
8.20025514262295,8.18808,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4
8.16597784502447,8.158268,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicCDF,julia,float64,cpu,true,true,4
8.192521962356793,8.18871,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4
8.180260302287582,8.1762485,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedUpwind,julia,float64,cpu,true,true,4
8.21414913136289,8.21008,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,Fused,julia,float64,cpu,true,true,4
9.81900872352941,9.725723,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedCDF,julia,float64,cpu,true,true,4
9.773791109375,9.6562425,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicUpwind,julia,float64,cpu,true,true,4
9.98737054291417,9.880681,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4
10.172121164634145,9.991508,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicCDF,julia,float64,cpu,true,true,4
10.003562286000001,9.9015045,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4
9.73649673151751,9.666722,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,true,true,4
11.859747393364929,11.555117,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,Fused,julia,float64,cpu,true,true,4
9.927681581349207,9.9194635,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedCDF,julia,float64,cpu,true,true,4
10.177265174796746,10.174328,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicUpwind,julia,float64,cpu,true,true,4
10.610341461864406,10.596072,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4
9.929525757936508,9.922037,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicCDF,julia,float64,cpu,true,true,4
10.63658480212766,10.625056,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4
10.188654810590632,10.183255,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,cpu,true,true,4
11.554241602771363,11.545444,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,cpu,true,true,4
31.596923993710693,31.590614,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,cpu,true,true,4
32.02325657324841,31.988319,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,cpu,true,true,4
32.522187701298705,32.514381,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4
31.624389597484274,31.612734,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,cpu,true,true,4
32.542844896103894,32.5279045,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4
32.03714992356688,31.975422,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,cpu,true,true,4
28.533081573863637,28.4914285,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,cpu,true,true,4
4.764409813333334,4.7632025,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,cpu,true,true,8
4.522479705244123,4.5123985,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,cpu,true,true,8
4.541724342415986,4.526457,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8
4.6568164189944135,4.620662,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicCDF,julia,float64,cpu,true,true,8
4.532367746146872,4.522663,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8
4.5328684841341795,4.52099,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedUpwind,julia,float64,cpu,true,true,8
4.517772008130081,4.511277,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,Fused,julia,float64,cpu,true,true,8
5.368887931330472,5.3672405,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedCDF,julia,float64,cpu,true,true,8
5.4479162331154685,5.433782,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicUpwind,julia,float64,cpu,true,true,8
5.333076841151385,5.3060665,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8
5.504538183718372,5.484812,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicCDF,julia,float64,cpu,true,true,8
5.334480972281449,5.303704,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8
5.1122429887525564,5.0942165,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,true,true,8
7.2415825600578865,7.126723,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,Fused,julia,float64,cpu,true,true,8
