time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,node
8.44439577364865,8.443436,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4,H200
8.906742640569394,8.9446335,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicCDF,julia,float64,cpu,true,true,4,H200
8.452264150337838,8.4403715,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4,H200
8.353969439065109,8.340289,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,true,true,4,H200
9.507427218631179,9.4958145,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,Fused,julia,float64,cpu,true,true,4,H200
10.77558675,10.7596825,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedCDF,julia,float64,cpu,true,true,4,H200
10.785315823275862,10.7680245,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicUpwind,julia,float64,cpu,true,true,4,H200
11.60485613225058,11.5928,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4,H200
10.782367887931034,10.767473,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicCDF,julia,float64,cpu,true,true,4,H200
11.626962679069766,11.6156115,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4,H200
10.783766163793103,10.7731265,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,cpu,true,true,4,H200
12.872454763496144,12.897019,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,cpu,true,true,4,H200
25.36067654040404,25.297783,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,cpu,true,true,4,H200
25.923305269430053,25.868871,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,cpu,true,true,4,H200
26.281589230366492,26.224909,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,4,H200
25.281351494949494,25.187512,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,cpu,true,true,4,H200
26.266451884816753,26.186377,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,4,H200
25.79033160824742,25.734922,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,cpu,true,true,4,H200
22.606763301801802,22.5793935,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,cpu,true,true,4,H200
5.4228329707158345,5.392056,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,cpu,true,true,8,H200
5.946591239001189,5.94926,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,cpu,true,true,8,H200
6.274562407779172,6.28484,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8,H200
5.409565463783784,5.399305,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicCDF,julia,float64,cpu,true,true,8,H200
6.2909278150943395,6.307171,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8,H200
6.083848776155718,6.072589,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedUpwind,julia,float64,cpu,true,true,8,H200
6.2669585689223055,6.267151,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,Fused,julia,float64,cpu,true,true,8,H200
4.9926305,4.9825095,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedCDF,julia,float64,cpu,true,true,8,H200
4.579325340659341,4.5667835,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicUpwind,julia,float64,cpu,true,true,8,H200
4.610265716129032,4.568035,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8,H200
4.976225806965174,4.988242,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,DynamicCDF,julia,float64,cpu,true,true,8,H200
4.605189377532228,4.5688115,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8,H200
4.519747655826558,4.51312,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,true,true,8,H200
5.567290914253898,5.539568,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,Fused,julia,float64,cpu,true,true,8,H200
11.462876221967964,11.440732,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedCDF,julia,float64,cpu,true,true,8,H200
11.394887136674258,11.380719,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicUpwind,julia,float64,cpu,true,true,8,H200
12.140255563106797,12.113885,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8,H200
11.360102365079365,11.328047,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,DynamicCDF,julia,float64,cpu,true,true,8,H200
12.210772568292683,12.1783385,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8,H200
11.44523347368421,11.439189,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,HardCodedUpwind,julia,float64,cpu,true,true,8,H200
14.293377282857142,14.3197105,0.0,0.0,LDC-1000000,LDC-1000000,batchedFace,Fused,julia,float64,cpu,true,true,8,H200
12.318959790640394,12.34723,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedCDF,julia,float64,cpu,true,true,8,H200
12.512243365,12.550694,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicUpwind,julia,float64,cpu,true,true,8,H200
12.55832753132832,12.596487,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,8,H200
12.326924081280788,12.3393195,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,DynamicCDF,julia,float64,cpu,true,true,8,H200
12.56932642964824,12.6130245,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,8,H200
12.492479566084787,12.485285,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,HardCodedUpwind,julia,float64,cpu,true,true,8,H200
11.192970317673378,11.235219,0.0,0.0,LDC-1000000,LDC-1000000,cellBased,Fused,julia,float64,cpu,true,true,8,H200
3.2635698381201044,3.252901,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedCDF,julia,float64,cpu,true,true,16,H200
3.5693621848679515,3.563768,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicUpwind,julia,float64,cpu,true,true,16,H200
3.7635047419112113,3.759506,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,true,true,16,H200
3.2460176722907206,3.240295,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,DynamicCDF,julia,float64,cpu,true,true,16,H200
3.765060439006024,3.7593565,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,true,true,16,H200
3.6098488353790614,3.607878,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,HardCodedUpwind,julia,float64,cpu,true,true,16,H200
3.6419757720320467,3.652269,0.0,0.0,LDC-1000000,LDC-1000000,faceBased,Fused,julia,float64,cpu,true,true,16,H200
2.4889732060726732,2.480062,0.0,0.0,LDC-1000000,LDC-1000000,globalFaceBased,HardCodedCDF,julia,float64,cpu,true,true,16,H200
