time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,cells,ms_normed,varDisplay,varType
0.2629083248,0.179692,0.0,0.0,LDC-343000,LDC-343000,faceBased,Fused,julia,float64,cpu,True,True,2,343000,7.664965737609328e-07,Fused,Fused
6.22981307098381,6.234391,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedCDF,julia,float64,cpu,True,True,2,343000,1.8162720323567958e-05,Linear (Stat.),Hardcoded
6.164419262315271,6.1808175,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicUpwind,julia,float64,cpu,True,True,2,343000,1.7972067820161142e-05,Upwind (Dyn.),Dynamic
6.363949067430026,6.3673085,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,2,343000,1.8553787368600657e-05,Upwind (Prec.),Precalculated Weights
6.223286277363184,6.224983,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicCDF,julia,float64,cpu,True,True,2,343000,1.8143691770738144e-05,Linear (Dyn.),Dynamic
6.35769327827192,6.354225,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,2,343000,1.8535548916244667e-05,Linear (Prec.),Precalculated Weights
6.1451335294840295,6.160459,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedUpwind,julia,float64,cpu,True,True,2,343000,1.791584119383099e-05,Upwind (Stat.),Hardcoded
7.3555496338235296,7.499255,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,Fused,julia,float64,cpu,True,True,2,343000,2.1444751119019037e-05,Fused,Fused
6.478816278497409,6.465178,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedCDF,julia,float64,cpu,True,True,2,343000,1.888867719678545e-05,Linear (Stat.),Hardcoded
6.481904151554404,6.4792575,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicUpwind,julia,float64,cpu,True,True,2,343000,1.889767974214112e-05,Upwind (Dyn.),Dynamic
7.064649546610169,7.0462415,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,2,343000,2.0596645908484457e-05,Upwind (Prec.),Precalculated Weights
6.488468147859923,6.493207,0.0,0.0,LDC-343000,LDC-343000,batchedFace,DynamicCDF,julia,float64,cpu,True,True,2,343000,1.8916816757609103e-05,Linear (Dyn.),Dynamic
7.096006134751773,7.067586,0.0,0.0,LDC-343000,LDC-343000,batchedFace,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,2,343000,2.0688064532804003e-05,Linear (Prec.),Precalculated Weights
6.519450517601043,6.515247,0.0,0.0,LDC-343000,LDC-343000,batchedFace,HardCodedUpwind,julia,float64,cpu,True,True,2,343000,1.90071443661838e-05,Upwind (Stat.),Hardcoded
