time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads
1.3531340622282608,1.396748,0.0,0.0,LDC-3375000,LDC-3375000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
1.3168797773075904,1.363271,0.0,0.0,LDC-3375000,LDC-3375000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
1.3156434158964878,1.355642,0.0,0.0,LDC-3375000,LDC-3375000,faceBased,Fused,julia,float64,gpu,true,true,1
0.4416827458,0.4410695,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
0.4190837959,0.4207635,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
0.4128960036,0.412378,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
0.39982887359999997,0.3991265,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
0.4121972089,0.4118215,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
0.39725263380000003,0.3971725,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
0.406990315,0.406516,0.0,0.0,LDC-3375000,LDC-3375000,batchedFace,Fused,julia,float64,gpu,true,true,1
1.404075388185654,1.328647,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
1.7516027055516514,1.785235,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
1.8046313254887763,1.8365395,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
1.7242914685121107,1.7551525,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
1.8049566118754525,1.8364565,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
1.726723420159335,1.765223,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
1.713136210237032,1.755096,0.0,0.0,LDC-3375000,LDC-3375000,cellBased,Fused,julia,float64,gpu,true,true,1
12.49716037,12.4987335,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,HardCodedCDF,julia,float64,gpu,true,true,1
12.494350154613468,12.491251,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,DynamicUpwind,julia,float64,gpu,true,true,1
13.025039372395835,13.0173675,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
12.435044037313434,12.4331305,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,DynamicCDF,julia,float64,gpu,true,true,1
13.023699890625,13.0209845,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
12.437213992537314,12.419739,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,HardCodedUpwind,julia,float64,gpu,true,true,1
12.4285285955335,12.427046,0.0,0.0,LDC-39304000,LDC-39304000,faceBased,Fused,julia,float64,gpu,true,true,1
4.144665353233831,3.988381,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,HardCodedCDF,julia,float64,gpu,true,true,1
3.57355435382416,3.44366,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,DynamicUpwind,julia,float64,gpu,true,true,1
3.7969377165653495,3.643207,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
3.591235579741379,3.4402135,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,DynamicCDF,julia,float64,gpu,true,true,1
3.6735701880969875,3.631335,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
3.552043599857854,3.425512,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,HardCodedUpwind,julia,float64,gpu,true,true,1
3.6981733587278103,3.5784695,0.0,0.0,LDC-39304000,LDC-39304000,batchedFace,Fused,julia,float64,gpu,true,true,1
14.029459963585435,14.030037,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,HardCodedCDF,julia,float64,gpu,true,true,1
16.65791288704319,16.65736,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,DynamicUpwind,julia,float64,gpu,true,true,1
17.656834806338026,17.6557105,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
16.420231121311474,16.420044,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,DynamicCDF,julia,float64,gpu,true,true,1
17.672087756183746,17.654792,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,PrecalculatedWeightsCDF,julia,float64,gpu,true,true,1
16.645623252491696,16.64682,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,HardCodedUpwind,julia,float64,gpu,true,true,1
17.407641559027777,17.39538,0.0,0.0,LDC-39304000,LDC-39304000,cellBased,Fused,julia,float64,gpu,true,true,1
0.2065579302,0.205891,0.0,0.0,LDC-512000,LDC-512000,faceBased,HardCodedCDF,julia,float64,gpu,true,true,1
0.2069484176,0.206727,0.0,0.0,LDC-512000,LDC-512000,faceBased,DynamicUpwind,julia,float64,gpu,true,true,1
0.2119328818,0.211526,0.0,0.0,LDC-512000,LDC-512000,faceBased,PrecalculatedWeightsUpwind,julia,float64,gpu,true,true,1
