time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case,case_long,strategy,variant,language,precision,executor,use_kernelAbstractions,use_fusing,Threads,cells,ms_normed,varDisplay,varType
0.1185545858,0.117902,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedCDF,julia,float64,cpu,True,True,1,343000,3.456401918367347e-07,Linear (Stat.),Hardcoded
0.1186598817,0.118093,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicUpwind,julia,float64,cpu,True,True,1,343000,3.4594717696793004e-07,Upwind (Dyn.),Dynamic
0.1188225301,0.118282,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,1,343000,3.464213705539359e-07,Upwind (Prec.),Precalculated Weights
0.1185321814,0.117702,0.0,0.0,LDC-343000,LDC-343000,faceBased,DynamicCDF,julia,float64,cpu,True,True,1,343000,3.455748728862974e-07,Linear (Dyn.),Dynamic
0.1192544864,0.118533,0.0,0.0,LDC-343000,LDC-343000,faceBased,PrecalculatedWeightsCDF,julia,float64,cpu,True,True,1,343000,3.476807183673469e-07,Linear (Prec.),Precalculated Weights
0.118548523,0.118022,0.0,0.0,LDC-343000,LDC-343000,faceBased,HardCodedUpwind,julia,float64,cpu,True,True,1,343000,3.4562251603498544e-07,Upwind (Stat.),Hardcoded
0.1121077748,0.111533,0.0,0.0,LDC-343000,LDC-343000,faceBased,Fused,julia,float64,cpu,True,True,1,343000,3.268448244897959e-07,Fused,Fused
5.450936418756816,5.452446,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,HardCodedCDF,julia,float64,cpu,True,True,1,343000,1.5891942911827452e-05,Linear (Stat.),Hardcoded
5.2990711069915255,5.2971025,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicUpwind,julia,float64,cpu,True,True,1,343000,1.5449186900849927e-05,Upwind (Dyn.),Dynamic
5.937482362232779,5.943556,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,PrecalculatedWeightsUpwind,julia,float64,cpu,True,True,1,343000,1.7310444204760288e-05,Upwind (Prec.),Precalculated Weights
5.438369090217391,5.4451005,0.0,0.0,LDC-343000,LDC-343000,globalFaceBased,DynamicCDF,julia,float64,cpu,True,True,1,343000,1.5855303470021546e-05,Linear (Dyn.),Dynamic
