date,commit,source_file,benchmark_family,case,case_size_hint,strategy,time_ms,speedup_vs_first_seen,notes
2026-03-31,0283eb4,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,faceBased,99.521216,1.000000,best threaded/fused scaling point at this commit
2026-04-04,efbb9df,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,faceBased,55.193422,1.803135,SOA fused facebased threaded
2026-05-14,HEAD,results/cpuScaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,faceBased,58.349695,1.705600,current checked-in scaling data
2026-03-31,0283eb4,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,globalFaceBased,97.729037,1.000000,best threaded/fused scaling point at this commit
2026-04-04,efbb9df,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,globalFaceBased,52.488251,1.861922,fused globalFaceBased
2026-05-14,HEAD,results/cpuScaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,globalFaceBased,54.592526,1.790154,current checked-in scaling data
2026-03-31,0283eb4,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,cellBased,141.722800,1.000000,best threaded/fused scaling point at this commit
2026-04-04,efbb9df,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,cellBased,86.351230,1.641237,fused cellBased
2026-05-14,HEAD,results/cpuScaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,cellBased,89.792734,1.578333,current checked-in scaling data
2026-03-31,0283eb4,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,batchedFace,250.434087,1.000000,best threaded/fused scaling point at this commit
2026-04-04,efbb9df,results/scaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,batchedFace,171.729723,1.458304,fused batchedFace
2026-05-14,HEAD,results/cpuScaling.csv,ldc-scaling,cases/Lid-Driven-Cavities/200/,200^2 cells,batchedFace,174.068737,1.438708,current checked-in scaling data
