blocksize,workgroupsize,time
2,2,0.061070
2,4,0.027713
2,8,0.020719
2,16,0.017817
2,32,0.016790
2,64,0.017121
2,128,0.017085
2,256,0.017091
2,512,0.017140
2,1024,0.017131
4,2,0.047433
4,4,0.054060
4,8,0.020838
4,16,0.018087
4,32,0.017103
4,64,0.016849
4,128,0.017356
4,256,0.017311
4,512,0.018108
4,1024,0.017502
8,2,0.048267
8,4,0.029857
8,8,0.050563
8,16,0.017981
8,32,0.017447
8,64,0.017906
8,128,0.017715
8,256,0.017661
8,512,0.017640
8,1024,0.017401
16,2,0.048902
16,4,0.029807
16,8,0.022137
16,16,0.018478
16,32,0.047641
16,64,0.017771
16,128,0.017809
16,256,0.017901
16,512,0.017371
16,1024,0.017476
32,2,0.048919
32,4,0.030493
32,8,0.022046
32,16,0.018804
32,32,0.017721
32,64,0.017892
32,128,0.048109
32,256,0.018331
32,512,0.018170
32,1024,0.017976
64,2,0.049793
64,4,0.032378
64,8,0.023151
64,16,0.018714
64,32,0.018613
64,64,0.018886
64,128,0.018824
64,256,0.018580
64,512,0.045221
64,1024,0.018248
128,2,0.051498
128,4,0.032467
128,8,0.022520
128,16,0.019446
128,32,0.018302
128,64,0.018714
128,128,0.018681
128,256,0.018435
128,512,0.018065
128,1024,0.017804
256,2,0.070548
256,4,0.031753
256,8,0.022544
256,16,0.019354
256,32,0.018124
256,64,0.017577
256,128,0.017471
256,256,0.017532
256,512,0.017660
256,1024,0.017352
512,2,0.050446
512,4,0.055553
512,8,0.022594
512,16,0.020389
512,32,0.019477
512,64,0.020301
512,128,0.020898
512,256,0.020914
512,512,0.021226
512,1024,0.019887
1024,2,0.049972
1024,4,0.030202
1024,8,0.055054
1024,16,0.026741
1024,32,0.026526
1024,64,0.028392
1024,128,0.028921
1024,256,0.028952
1024,512,0.030444
1024,1024,0.030208
