,case,cells,time_us,strategy,executor,julia_or_neon,threads,node,nnz,time_ms,ms_normed,us_normed,mean_normed,us_mean_normed,merged,bandwidth
32,LDC_N30,27000,132,Fused Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.132,4.888888888888889e-06,0.0048888888888888,4.888888888888889e-06,0.0048888888888888,Fused Face-Based (NeoN),33.38181818181818
33,LDC_N30,27000,471,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.471,1.7444444444444444e-05,0.0174444444444444,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),9.355414012738851
34,LDC_N30,27000,448,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.448,1.6592592592592594e-05,0.0165925925925925,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),9.835714285714284
35,LDC_N30,27000,452,Cell-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.452,1.674074074074074e-05,0.0167407407407407,1.6592592592592594e-05,0.0165925925925925,Cell-Based (NeoN),9.74867256637168
36,LDC_N30,27000,568,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.568,2.103703703703703e-05,0.021037037037037,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),7.75774647887324
37,LDC_N30,27000,512,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.512,1.8962962962962963e-05,0.0189629629629629,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),8.60625
38,LDC_N30,27000,499,Face-Based,GPU,NeoN,1,gpu-nvidia-h100,183600.0,0.499,1.848148148148148e-05,0.0184814814814814,1.848148148148148e-05,0.0184814814814814,Face-Based (NeoN),8.830460921843688
39,LDC_N30,27000,479,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.479,1.774074074074074e-05,0.0177407407407407,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),9.199164926931106
40,LDC_N30,27000,337,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.337,1.2481481481481485e-05,0.0124814814814814,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),13.075370919881305
41,LDC_N30,27000,322,Face-Based,GPU,JuNe,1,gpu-nvidia-h100,183600.0,0.322,1.1925925925925929e-05,0.0119259259259259,1.1925925925925929e-05,0.0119259259259259,Face-Based (JuNe),13.68447204968944
