ID,0,1,2,3,4,5,6
Thread ID [thread],199659,199659,199659,199659,199659,199659,199659
Device Name,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070,NVIDIA GeForce RTX 4070
CUprogram,0x133b4b90,0x133b4b90,0x16fc68e0,0x16fc68e0,0x16fc68e0,0x16fc68e0,0x16fc68e0
CUfunction,0x129a48c0,0x129a48c0,0x17d3cb50,0x17d3cb50,0x17d3cb50,0x17d3cb50,0x17d3cb50
Grid Offset,"    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0","    0,    0,    0"
Grid Size,"   32,    1,    1","   70,    1,    1","   32,    1,    1","   32,    1,    1","   32,    1,    1","   32,    1,    1"," 4096,    1,    1"
Block Size [block],"  768,    1,    1","  768,    1,    1","  128,    1,    1","  128,    1,    1","  128,    1,    1","  128,    1,    1","  128,    1,    1"
Grid Dimensions,3,3,3,3,3,3,3
Result Type,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],"3,657","4,312","80,279","81,850","89,060,022","89,049,429","35,678,437"
gpu__time_duration.sum [ms],0.00,0.00,0.03,0.03,35.98,35.98,14.42
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],3.94,7.42,12.94,13.00,9.93,9.93,23.44
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],12.00,21.84,17.61,17.58,30.09,30.09,58.93
FBSP.TriageSCG.dramc__read_throughput.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,{4517},{3663}
FBSP.TriageSCG.dramc__throughput.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,{4517},{3663}
FBSP.TriageSCG.dramc__write_throughput.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,{4517},{3663}
FE_B.TriageAC.gr__ctas_launched_queue_sync.avg [block],n/a,n/a,n/a,n/a,n/a,32 {4525},"4,096 {3657}"
FE_B.TriageAC.gr__ctas_launched_queue_sync.sum.per_cycle_elapsed [block/cycle],n/a,n/a,n/a,n/a,n/a,0.00 {4517},0.53 {3663}
LTS.TriageSCG.lts__average_t_sector_hit_rate_realtime.pct [%],n/a,n/a,n/a,n/a,n/a,{4528},{3657}
LTS.TriageSCG.lts__throughput.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,{4528},{3657}
SM_A.TriageAC.l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,6.91 {4528},11.27 {3657}
SM_A.TriageAC.l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],n/a,n/a,n/a,n/a,n/a,5.49 {4528},9.01 {3657}
